dimension,mean_error_normal,mean_error_anomaly,error_difference,error_ratio
0,0.0022259918,0.0037494593,0.0015234675,1.6843994
1,0.0017827793,0.002247036,0.00046425662,1.2604117
2,0.003427652,0.0033191026,-0.00010854937,0.9683313
3,0.0025650626,0.0017587385,-0.00080632407,0.6856513
4,0.003781939,0.0045869914,0.00080505246,1.2128676
5,0.0046136985,0.0058802417,0.0012665433,1.274518
6,0.0067216516,0.0037831292,-0.0029385225,0.5628273
7,0.004451001,0.008995621,0.0045446204,2.0210333
8,0.0044735502,0.002129751,-0.0023437992,0.47607625
9,0.0046762163,0.005746008,0.0010697916,1.2287729
10,0.0064473115,0.005536931,-0.0009103804,0.8587969
11,0.004577716,0.0028091795,-0.0017685364,0.61366403
12,0.0061769485,0.0047588525,-0.001418096,0.77042127
13,0.0046270937,0.002065158,-0.0025619357,0.4463186
14,0.00508695,0.004542137,-0.000544813,0.8928999
15,0.0049509373,0.0036012782,-0.0013496592,0.7273932
16,0.005501322,0.010204188,0.0047028656,1.854861
17,0.004972355,0.0044941683,-0.00047818664,0.90383095
18,0.004994469,0.008312781,0.003318312,1.6643974
19,0.004773417,0.0072107227,0.0024373056,1.5105997
20,0.0043859906,0.0028894541,-0.0014965364,0.65879166
21,0.0049447413,0.0035895142,-0.0013552271,0.72592556
22,0.004453957,0.0043103523,-0.00014360482,0.96775794
23,0.0040371455,0.0037907546,-0.00024639093,0.938969
24,0.00429909,0.0030528293,-0.0012462605,0.7101106
25,0.003889305,0.005681944,0.001792639,1.460915
26,0.0038613945,0.0038384744,-2.2920081e-05,0.9940643
27,0.0038976197,0.005708249,0.0018106292,1.4645474
28,0.0034312462,0.0036912584,0.00026001222,1.0757778
29,0.003345607,0.003731925,0.00038631796,1.1154702
30,0.0033490893,0.0035011638,0.0001520745,1.0454078
31,0.0034531213,0.003478761,2.5639776e-05,1.0074251
32,0.0030232456,0.0027042716,-0.00031897402,0.89449286
33,0.003421553,0.0017607586,-0.0016607944,0.514608
34,0.0029948305,0.0017783957,-0.0012164348,0.5938218
35,0.0030053381,0.0036570514,0.0006517132,1.2168518
36,0.0030485464,0.0034144977,0.00036595133,1.1200413
37,0.002905963,0.0032440904,0.00033812737,1.1163564
38,0.002820183,0.0045145457,0.0016943626,1.6007988
39,0.0026715803,0.0035706174,0.0008990371,1.3365189
40,0.0029757135,0.005172979,0.0021972656,1.7383996
41,0.0025212776,0.0033333334,0.0008120558,1.3220811
42,0.0026431738,0.0023707962,-0.00027237763,0.89695054
43,0.0025949886,0.0023990292,-0.00019595935,0.92448545
44,0.0024322767,0.0022631183,-0.00016915845,0.93045264
45,0.002449309,0.0028283244,0.00037901546,1.1547438
46,0.0024829253,0.002041344,-0.00044158124,0.82215285
47,0.0023382937,0.0032305897,0.00089229597,1.3816013
48,0.0023527786,0.003395677,0.0010428985,1.4432625
49,0.0022004435,0.0013642765,-0.000836167,0.6200007
