dimension,mean_error_normal,mean_error_anomaly,error_difference,error_ratio
0,0.012664477,0.073537245,0.060872767,5.806576
1,0.012144189,0.013641847,0.001497658,1.123323
2,0.026993874,0.19232547,0.1653316,7.124782
3,0.020504117,0.006669365,-0.013834752,0.32526955
4,0.018373143,0.06362175,0.04524861,3.4627583
5,0.05960705,0.08256103,0.02295398,1.3850883
6,0.19117387,0.3253277,0.13415383,1.7017373
7,0.031890173,0.026493805,-0.005396368,0.8307827
8,0.12556793,0.31309995,0.18753202,2.4934707
9,0.015499435,0.0064313915,-0.009068044,0.4149436
10,0.004304089,0.01200466,0.0077005713,2.7891293
11,0.123563804,0.15729584,0.033732034,1.2729928
12,0.032772668,0.043470226,0.0106975585,1.3264171
13,0.016757352,0.020048494,0.0032911412,1.1963998
14,0.024790682,0.07846813,0.053677447,3.1652267
15,0.020291356,0.33963928,0.31934792,16.738127
16,0.069845125,0.039983,-0.029862124,0.57245225
17,0.0056545245,0.0077106985,0.002056174,1.3636334
18,0.009019418,0.035493143,0.026473725,3.9351923
19,0.021823881,0.022436518,0.000612637,1.0280719
20,0.011256358,0.002444586,-0.008811772,0.2171738
21,0.01897445,0.037645284,0.018670835,1.9839988
22,0.0112517895,0.12516484,0.113913044,11.123994
23,0.047422558,0.036728438,-0.01069412,0.774493
24,0.0034073375,0.015668835,0.012261498,4.598557
25,0.008781325,0.051736835,0.04295551,5.891689
26,0.054541398,0.06359867,0.009057272,1.1660624
27,0.00057828357,0.014975352,0.014397069,25.89621
28,0.007944929,0.01601637,0.00807144,2.0159235
29,0.009019273,0.013355307,0.004336034,1.480752
30,0.019060176,0.079573564,0.06051339,4.17486
31,0.13188243,0.43265152,0.3007691,3.280585
32,0.004126977,0.006587947,0.0024609696,1.5963129
33,0.0076247184,0.02532216,0.017697442,3.3210616
34,0.16202684,0.066387266,-0.09563957,0.40973005
35,0.042565342,0.006701331,-0.03586401,0.15743633
36,0.03516448,0.034213506,-0.0009509735,0.9729564
37,0.039160945,0.016917206,-0.022243738,0.4319918
38,0.015235343,0.09432882,0.07909348,6.1914473
39,0.031896032,0.2870163,0.25512028,8.998495
40,0.02677279,0.00952277,-0.01725002,0.35568836
41,0.055544306,0.07423128,0.018686976,1.3364336
42,0.015394605,0.07809884,0.062704235,5.0731306
43,0.14447957,0.09816139,-0.04631818,0.6794136
44,0.046839062,0.11090027,0.06406121,2.3676877
45,0.00432873,0.0045115366,0.00018280651,1.042231
46,0.00674041,0.01609538,0.0093549695,2.3878932
47,0.024463084,0.019956015,-0.0045070685,0.81576043
48,0.0030398902,0.001028385,-0.0020115052,0.33829677
49,0.012229981,0.006426426,-0.005803555,0.52546495
50,0.008849556,0.0037205534,-0.005129002,0.4204226
51,0.0052134856,0.007981767,0.0027682814,1.5309848
52,0.0023359216,0.15215556,0.14981964,65.137276
