dimension,mean_error_normal,mean_error_anomaly,error_difference,error_ratio
0,0.001978978,0.0016592453,-0.0003197327,0.8384355
1,0.0017923996,0.0025225433,0.00073014374,1.4073554
2,0.0026124292,0.0037533073,0.0011408781,1.4367115
3,0.0022533285,0.0021234117,-0.0001299167,0.94234455
4,0.0032793658,0.005628122,0.0023487562,1.7162226
5,0.0031744686,0.008718292,0.0055438234,2.7463784
6,0.0041981647,0.0032549358,-0.00094322884,0.7753235
7,0.0052303476,0.0074644573,0.0022341097,1.4271436
8,0.003660008,0.0059740734,0.0023140654,1.6322569
9,0.004027457,0.008997381,0.0049699238,2.2340105
10,0.0030858915,0.0031568408,7.094932e-05,1.0229915
11,0.0029369055,0.003603604,0.00066669844,1.2270072
12,0.0036057928,0.0040289313,0.0004231385,1.1173496
13,0.0030643737,0.0033550106,0.0002906369,1.0948439
14,0.005053795,0.00517408,0.00012028497,1.023801
15,0.0047325552,0.0043522078,-0.00038034748,0.91963166
16,0.0040059006,0.003694185,-0.00031171553,0.9221859
17,0.004536291,0.002625244,-0.0019110471,0.57872033
18,0.0042326516,0.0049219243,0.00068927277,1.1628466
19,0.0041455757,0.0051404587,0.000994883,1.2399867
20,0.0043589137,0.003806066,-0.00055284775,0.87316847
21,0.003552092,0.0035690446,1.6952632e-05,1.0047725
22,0.0040912423,0.004065725,-2.5517307e-05,0.99376297
23,0.004370852,0.0049361535,0.0005653016,1.1293344
24,0.0037451044,0.0037607118,1.5607337e-05,1.0041674
25,0.0039288583,0.0052572247,0.0013283663,1.338105
26,0.0037122923,0.0035275794,-0.00018471293,0.9502429
27,0.003556435,0.002802635,-0.0007537999,0.7880462
28,0.0035971429,0.0030099722,-0.0005871707,0.8367675
29,0.0035659913,0.0026969493,-0.000869042,0.75629723
30,0.0032987571,0.0028031082,-0.00049564894,0.84974676
31,0.0034768183,0.0022579804,-0.0012188379,0.64943874
32,0.0033735887,0.0033625714,-1.1017313e-05,0.99673426
33,0.0030842912,0.0023908261,-0.0006934651,0.7751622
34,0.0029644496,0.0029994773,3.502774e-05,1.0118159
35,0.0027230454,0.00257643,-0.00014661532,0.9461576
36,0.0029367488,0.005289595,0.0023528463,1.8011738
37,0.002924913,0.0019383552,-0.0009865579,0.66270524
38,0.0027267796,0.0013395525,-0.0013872271,0.49125805
39,0.0029470543,0.0016408426,-0.0013062117,0.5567738
40,0.002881311,0.0017298254,-0.0011514857,0.6003605
41,0.002796851,0.0022613707,-0.00053548045,0.80854166
42,0.0025189538,0.0027357154,0.0002167616,1.0860522
43,0.0025727972,0.0026085698,3.5772566e-05,1.0139041
44,0.0025598127,0.0027107175,0.00015090476,1.0589515
45,0.0024844205,0.0026774234,0.00019300287,1.0776852
46,0.0023367675,0.0012474321,-0.0010893354,0.5338281
47,0.0023650846,0.0034033617,0.001038277,1.439002
48,0.002299431,0.0018035581,-0.0004958729,0.78434974
49,0.0022346433,0.001677749,-0.00055689435,0.7507905
