dimension,mean_error_normal,mean_error_anomaly,error_difference,error_ratio
0,0.013357932,0.06546647,0.05210854,4.9009438
1,0.0072143003,0.013179342,0.005965042,1.8268359
2,0.029680895,0.18398349,0.1543026,6.1987176
3,0.027335659,0.0054305107,-0.021905148,0.19866031
4,0.033091094,0.052908376,0.019817282,1.5988705
5,0.038578454,0.08414841,0.045569953,2.1812282
6,0.13185132,0.32564014,0.19378883,2.4697528
7,0.05843928,0.022160282,-0.036279,0.37920183
8,0.15305102,0.2451671,0.09211609,1.6018653
9,0.009516452,0.004239167,-0.0052772854,0.44545665
10,0.0038566235,0.01152541,0.0076687867,2.9884717
11,0.061871774,0.1203655,0.058493726,1.9454024
12,0.019575583,0.043295566,0.023719983,2.2117128
13,0.0061228257,0.015351055,0.0092282295,2.5071847
14,0.017449107,0.072351,0.054901894,4.1464014
15,0.019619394,0.3277019,0.3080825,16.702957
16,0.03548968,0.025478963,-0.010010716,0.717926
17,0.009879891,0.006704327,-0.0031755636,0.67858315
18,0.008674259,0.037073065,0.028398804,4.273917
19,0.011713552,0.019031707,0.007318155,1.6247597
20,0.018639017,0.0018631262,-0.016775891,0.09995839
21,0.024753,0.043368828,0.018615827,1.7520634
22,0.009688006,0.13259196,0.12290396,13.686197
23,0.058536895,0.03437474,-0.024162155,0.58723205
24,0.00774377,0.010715084,0.0029713144,1.3837038
25,0.026427004,0.042236723,0.015809719,1.5982411
26,0.091546364,0.06399683,-0.027549535,0.6990647
27,0.0025150653,0.013783377,0.011268311,5.4803257
28,0.018761028,0.013559596,-0.005201432,0.72275335
29,0.011503918,0.01432453,0.002820612,1.245187
30,0.014599743,0.074876755,0.06027701,5.128635
31,0.20695868,0.35179746,0.14483878,1.699844
32,0.0043640924,0.007774972,0.0034108795,1.7815782
33,0.020420982,0.022317968,0.0018969867,1.092894
34,0.09837544,0.12051445,0.022139013,1.2250462
35,0.071503736,0.015150619,-0.05635312,0.21188569
36,0.033726953,0.029565556,-0.004161397,0.8766151
37,0.026412092,0.01784266,-0.008569432,0.6755489
38,0.028083527,0.09093343,0.0628499,3.2379632
39,0.034578376,0.32397088,0.2893925,9.369176
40,0.043442912,0.009294919,-0.034147993,0.21395709
41,0.069887795,0.029471109,-0.040416688,0.42169178
42,0.014491503,0.077471256,0.06297975,5.345978
43,0.108558424,0.091123216,-0.017435208,0.8393933
44,0.019777052,0.125094,0.105316944,6.3252096
45,0.0042606136,0.0035299142,-0.0007306994,0.828499
46,0.010757805,0.018558193,0.007800388,1.7250911
47,0.05522262,0.02267785,-0.03254477,0.41066235
48,0.017382527,0.0018489907,-0.015533536,0.10637065
49,0.015919091,0.0056168255,-0.010302266,0.3528358
50,0.009943763,0.002616936,-0.0073268265,0.26317364
51,0.012786189,0.008369649,-0.0044165403,0.6545851
52,0.0021247002,0.14667541,0.14455071,69.03346
53,0.05634376,0.020983798,-0.035359964,0.37242454
54,0.032800958,0.055496465,0.022695508,1.691916
55,0.010569955,0.17169301,0.16112305,16.243494
56,0.026288325,0.017746877,-0.008541448,0.6750859
57,0.017650662,0.013389659,-0.004261003,0.7585925
58,0.033384778,0.024285644,-0.009099133,0.7274466
59,0.12087469,0.56677884,0.44590414,4.6889787
60,0.049857035,0.11213187,0.062274836,2.2490683
61,0.052462015,0.08708047,0.034618456,1.6598766
62,0.022802884,0.010780044,-0.01202284,0.47274914
63,0.031919625,0.03789084,0.0059712157,1.1870704
64,0.04743405,0.046737876,-0.0006961748,0.9853233
65,0.032213535,0.03143914,-0.0007743947,0.97596055
66,0.1816369,0.052593872,-0.12904303,0.28955498
67,0.007075045,0.051370297,0.04429525,7.260773
68,0.002483267,0.021306178,0.01882291,8.579898
69,0.004877232,0.034772206,0.029894974,7.129496
70,0.005441385,0.061355427,0.05591404,11.275701
71,0.020391589,0.010000077,-0.010391512,0.49040204
72,0.020022491,0.005300498,-0.014721993,0.2647272
73,0.031159908,0.26898354,0.23782364,8.63236
74,0.02757302,0.10164325,0.07407023,3.68633
75,0.07879325,0.11999949,0.04120624,1.5229666
76,0.1345103,0.07976615,-0.054744147,0.5930115
77,0.018737089,0.013326403,-0.005410686,0.71123123
78,0.011214506,0.015219707,0.004005201,1.3571447
79,0.010113579,0.0015638602,-0.008549719,0.15462975
80,0.049479432,0.2990832,0.24960378,6.0445967
81,0.033368923,0.033951428,0.000582505,1.0174565
