dimension,mean_error_normal,mean_error_anomaly,error_difference,error_ratio
0,0.0017789066,0.0029576821,0.0011787756,1.6626406
1,0.0021836886,0.0034726472,0.0012889586,1.5902667
2,0.0029289722,0.0036228974,0.0006939252,1.2369176
3,0.003475,0.0054153036,0.0019403037,1.5583608
4,0.0036569864,0.0076282904,0.003971304,2.08595
5,0.0034903344,0.0074197743,0.00392944,2.125806
6,0.003897549,0.007352267,0.003454718,1.8863822
7,0.0045358166,0.0041098967,-0.0004259199,0.90609854
8,0.0035814361,0.0026907984,-0.00089063775,0.7513183
9,0.0036641553,0.00310737,-0.00055678515,0.8480454
10,0.0038347868,0.0027257164,-0.0011090704,0.71078694
11,0.006142173,0.0031980653,-0.0029441076,0.5206733
12,0.0045335237,0.005515517,0.0009819935,1.2166071
13,0.0056341565,0.004917809,-0.0007163477,0.87285626
14,0.0039888024,0.003200907,-0.0007878954,0.8024732
15,0.0056050653,0.003258355,-0.0023467103,0.58132327
16,0.0045580184,0.0034071712,-0.0011508472,0.7475115
17,0.0048095197,0.0023357184,-0.0024738014,0.48564482
18,0.0047329413,0.005934851,0.0012019095,1.2539456
19,0.004812409,0.006527707,0.0017152978,1.3564322
20,0.0043284064,0.005126903,0.0007984964,1.1844782
21,0.004214483,0.0037541343,-0.00046034856,0.89076984
22,0.0045107915,0.0031296578,-0.0013811337,0.69381565
23,0.003841025,0.006049657,0.0022086317,1.575011
24,0.003495019,0.003953038,0.00045801885,1.131049
25,0.003680803,0.0031285658,-0.00055223727,0.84996825
26,0.0030214074,0.002905726,-0.00011568144,0.9617127
27,0.0034884054,0.005067683,0.0015792775,1.4527218
28,0.0034174232,0.0032872611,-0.00013016211,0.9619122
29,0.0033656652,0.0030746756,-0.00029098964,0.91354173
30,0.0031830154,0.0028884297,-0.0002945857,0.90745074
31,0.003316094,0.0045056455,0.0011895515,1.3587207
32,0.0030390897,0.002740049,-0.0002990407,0.9016019
33,0.0029705917,0.002239044,-0.0007315476,0.75373673
34,0.0027408367,0.0025001657,-0.00024067098,0.9121907
35,0.0029310524,0.0016401551,-0.0012908973,0.5595789
36,0.0028998263,0.0021464522,-0.0007533741,0.7402003
37,0.0027926322,0.0025416017,-0.00025103055,0.9101097
38,0.002886304,0.003916541,0.0010302372,1.3569399
39,0.0025872046,0.0015013464,-0.0010858582,0.58029675
40,0.0026778956,0.0034910922,0.00081319665,1.30367
41,0.0025042694,0.0025222672,1.7997809e-05,1.0071869
42,0.002478074,0.0022208807,-0.00025719334,0.8962124
43,0.0024443914,0.0025375693,9.317789e-05,1.0381191
44,0.0024293372,0.002751162,0.0003218248,1.1324743
45,0.0022808502,0.0025062605,0.00022541033,1.0988274
46,0.002272834,0.0047374577,0.0024646237,2.0843835
47,0.002194751,0.005386486,0.0031917351,2.4542584
48,0.002309826,0.0015927404,-0.00071708555,0.68955
49,0.0022371882,0.0013805465,-0.0008566417,0.61709005
