dimension,mean_error_normal,mean_error_anomaly,error_difference,error_ratio
0,0.011393612,0.068461224,0.05706761,6.0087376
1,0.006800507,0.010879245,0.0040787375,1.5997696
2,0.027359985,0.20068753,0.17332754,7.3350744
3,0.019333322,0.004503005,-0.014830316,0.23291421
4,0.017173255,0.063542455,0.046369202,3.7000823
5,0.044821527,0.08219628,0.037374754,1.8338572
6,0.096456364,0.29327717,0.19682081,3.0405166
7,0.06159972,0.030104453,-0.031495266,0.48871088
8,0.15040584,0.35,0.19959415,2.3270373
9,0.0144966375,0.004860732,-0.009635906,0.33530062
10,0.0029525924,0.012087926,0.009135334,4.094004
11,0.039419837,0.13072477,0.091304936,3.316218
12,0.025483835,0.044995695,0.01951186,1.7656564
13,0.010514838,0.018347766,0.007832929,1.7449405
14,0.01675728,0.081849076,0.065091796,4.8843894
15,0.017380992,0.32747442,0.31009343,18.84095
16,0.039324075,0.0354448,-0.0038792752,0.90135115
17,0.012309674,0.0063359346,-0.0059737395,0.5147118
18,0.011999196,0.035201292,0.023202095,2.9336376
19,0.021843115,0.021124398,-0.00071871653,0.96709645
20,0.015255296,0.003257281,-0.0119980145,0.21351804
21,0.020684237,0.035387244,0.014703007,1.7108315
22,0.009808392,0.13190043,0.12209204,13.447712
23,0.07220167,0.037499625,-0.034702044,0.51937336
24,0.009646461,0.015133902,0.005487441,1.5688553
25,0.011385981,0.054712187,0.043326207,4.805224
26,0.12805685,0.08366248,-0.044394374,0.65332294
27,0.000931485,0.01526862,0.0143371355,16.391697
28,0.012204871,0.013345896,0.0011410257,1.0934894
29,0.010525292,0.015986145,0.0054608528,1.5188315
30,0.021643685,0.06473866,0.043094978,2.9911108
31,0.18306978,0.47506484,0.29199505,2.5949934
32,0.006300985,0.008591141,0.0022901557,1.36346
33,0.036348704,0.054051965,0.017703261,1.4870397
34,0.09555343,0.11677381,0.021220379,1.2220787
35,0.074464306,0.009310068,-0.06515424,0.12502725
36,0.037827916,0.02848355,-0.009344367,0.75297695
37,0.008127922,0.016700601,0.008572679,2.0547197
38,0.016366791,0.100764275,0.08439748,6.15663
39,0.052399818,0.3310052,0.27860537,6.316915
40,0.038628235,0.017741881,-0.020886354,0.45929825
41,0.044166707,0.02956487,-0.014601836,0.6693927
42,0.010626602,0.07491116,0.06428456,7.0493994
43,0.07016702,0.070609376,0.00044235587,1.0063044
44,0.011208367,0.13431026,0.12310189,11.983036
45,0.0033948242,0.002884642,-0.00051018223,0.8497176
46,0.008708553,0.019211847,0.010503294,2.2060895
47,0.06049966,0.03963558,-0.02086408,0.65513724
48,0.0014672348,0.0006119461,-0.0008552887,0.4170744
49,0.014085808,0.0043174666,-0.009768341,0.30651182
50,0.016992861,0.005901268,-0.011091594,0.34727925
51,0.011315325,0.009018245,-0.0022970801,0.7969939
52,0.0032689318,0.14317963,0.1399107,43.800125
53,0.066280015,0.017669888,-0.04861013,0.2665945
54,0.03240046,0.046300992,0.013900533,1.4290227
55,0.0077766804,0.18024549,0.17246881,23.17769
56,0.022990659,0.014703726,-0.0082869325,0.6395522
57,0.01740573,0.014537489,-0.0028682407,0.8352128
58,0.029007638,0.023541814,-0.005465824,0.8115729
59,0.11405701,0.45074853,0.33669153,3.9519582
60,0.06836344,0.10515841,0.036794968,1.5382258
61,0.06452223,0.09428768,0.02976545,1.4613209
62,0.023272185,0.0069328668,-0.016339317,0.29790357
63,0.02028842,0.04355987,0.02327145,2.147031
64,0.024940046,0.018416476,-0.00652357,0.7384299
65,0.011259848,0.031617675,0.020357827,2.8080018
66,0.09959345,0.023437519,-0.07615593,0.23533192
67,0.005158528,0.051938675,0.046780147,10.068506
68,0.002590451,0.021778453,0.019188002,8.407206
69,0.0058044535,0.03493344,0.029128987,6.018386
70,0.0031103778,0.06069646,0.05758608,19.514175
71,0.014669793,0.0076082563,-0.0070615364,0.5186342
72,0.032341443,0.015566341,-0.016775101,0.48131248
73,0.03636655,0.27878416,0.2424176,7.6659503
74,0.037926268,0.10183155,0.063905284,2.6849873
75,0.02429541,0.10339262,0.07909721,4.2556443
76,0.0748618,0.11310523,0.038243428,1.5108536
77,0.004439623,0.0075275446,0.0030879215,1.6955369
78,0.0051675793,0.013300557,0.008132977,2.5738466
79,0.013872178,0.004183321,-0.009688858,0.30156192
80,0.050118987,0.2954144,0.2452954,5.894261
81,0.038289286,0.04130597,0.0030166842,1.0787866
82,0.007105043,0.024395017,0.017289974,3.433479
83,0.0072496254,0.0076495544,0.000399929,1.0551655
84,0.020875713,0.018436642,-0.0024390705,0.88316226
85,0.019681683,0.1626648,0.14298312,8.264781
86,0.020386742,0.004087904,-0.016298838,0.20051776
87,0.016789546,0.054412615,0.03762307,3.2408626
88,0.00821839,0.0072473544,-0.00097103557,0.881846
89,0.01394861,0.11701425,0.10306564,8.388954
90,0.0022028154,0.00055062416,-0.0016521912,0.24996382
91,0.09480749,0.07738856,-0.017418928,0.81627053
92,0.033483084,0.028702525,-0.004780559,0.85722464
93,0.008626624,0.051527165,0.04290054,5.973039
94,0.05123881,0.1764903,0.1252515,3.4444654
95,0.01823772,0.015874945,-0.0023627747,0.8704457
96,0.0087546585,0.0054972367,-0.0032574218,0.62792134
97,0.0042034993,0.01191671,0.007713211,2.83495
98,0.06384515,0.028875599,-0.034969553,0.4522755
99,0.029064208,0.04468905,0.015624844,1.5375974
100,0.00251743,0.00089392223,-0.0016235078,0.35509318
101,0.097093485,0.111315295,0.01422181,1.1464754
102,0.019769352,0.04020964,0.020440288,2.0339382
103,0.056396265,0.042981997,-0.013414267,0.7621426
104,0.015881278,0.0052914047,-0.010589873,0.33318508
105,0.080011494,0.18181965,0.10180815,2.272419
106,0.018072972,0.0087553635,-0.009317609,0.48444515
107,0.14784682,0.0411664,-0.10668042,0.27843952
108,0.008381289,0.0017570575,-0.006624232,0.20964047
109,0.11434004,0.05194569,-0.062394347,0.45430884
110,0.021501826,0.027631612,0.0061297864,1.2850821
111,0.006148574,0.005325235,-0.000823339,0.8660927
112,0.017560491,0.026348026,0.008787535,1.5004151
113,0.007710854,0.10506776,0.09735691,13.625957
114,0.026466077,0.012988188,-0.013477889,0.49074852
115,0.09387753,0.05374968,-0.04012785,0.5725511
116,0.14335239,0.9606377,0.8172853,6.7012324
117,0.029421408,0.030986868,0.0015654601,1.0532082
118,0.09204138,0.22837919,0.13633782,2.4812665
119,0.0012181944,0.011256884,0.01003869,9.24063
120,0.0071958676,0.018254912,0.011059044,2.5368605
121,0.051230595,0.012853764,-0.03837683,0.25090015
122,0.006308947,0.016003521,0.009694574,2.536639
123,0.0049817204,0.0011966197,-0.0037851008,0.2402021
124,0.001188143,0.0057168887,0.0045287455,4.8116164
125,0.046935976,0.05780167,0.010865696,1.2315004
126,0.0940966,0.07085874,-0.023237862,0.7530425
127,0.02945898,0.015216175,-0.014242805,0.51652074
128,0.0077451305,0.0035155518,-0.0042295787,0.45390478
129,0.07764468,0.22501808,0.14737341,2.8980489
130,0.00875385,0.004086989,-0.004666861,0.466879
131,0.026559496,0.055969574,0.029410077,2.1073282
132,0.009831975,0.0049179764,-0.004913999,0.5002023
133,0.010033361,0.007318778,-0.0027145827,0.7294443
134,0.022243055,0.022345148,0.00010209344,1.0045899
135,0.0592251,0.15524282,0.09601772,2.6212335
136,0.007628181,0.007117111,-0.00051107025,0.93300235
137,0.0059594037,0.078140326,0.07218092,13.112104
138,0.003591921,0.018658876,0.015066955,5.1946793
139,0.034726053,0.045651566,0.010925513,1.31462
140,0.025943907,0.028582871,0.002638964,1.1017181
141,0.042961925,0.027158324,-0.015803602,0.6321487
142,0.058155645,0.02837281,-0.029782835,0.48787713
143,0.01149396,0.011848424,0.00035446323,1.0308391
144,0.029902697,0.017863983,-0.012038713,0.59740376
145,0.006953214,0.017943349,0.010990135,2.5805836
146,0.024263723,0.016426269,-0.007837454,0.67698884
147,0.027306963,0.018770048,-0.008536914,0.68737227
148,0.061484236,0.030972099,-0.030512137,0.5037405
